Node,Clade,Genus,First occurrence lower bound (Ma),First occurence upper bound (Ma),Calibration type,reference,Genus,Next occurrence lower bound (Ma),Next occurence upper bound (Ma),Calibration type,reference,note
MRCA Diatoms,diatoms,First diatoms,121,120,crown,"Nikolaev et al., 2001",Next diatoms,113,107,next occurence,"Harwood and Gersonde, 1990",
MRCA Corethron,corethron,Corethron,75,72,stem,"Hajos and Stradner, 1975",Corethron,72,66,next occurence,Harwood 1988 ,"next occurence published as Skeletonema subantractica. Both stem and next occurence should likely be transfered to Praecorethron, an extinct sister lineage to modern Corethron"
MRCA Stephanopyxis + Paralia,melosiroid,Amblypyrgus (Stephanopyxis),113,107,stem,"Gersonde and Harwood, 1990",Stephanopyxis,75,72,crown,"Davies and Kemp, 2016",
MRCA Stephanopyxis + Paralia,melosiroid,Archepyrgus (Aulacoseira),113,107,stem,"Gersonde and Harwood, 1990",Archepyrgus,86,83,next occurence,"Witkowski et al., 2011",stem of Aulacoseira
MRCA Stephanopyxis + Paralia,melosiroid,Hyalodiscus,83,80,crown,"Witkowski et al., 2011",Hyalodiscus,66,56,next occurence,Chambers 1997,
MRCA Stephanopyxis + Paralia,melosiroid,Paralia,95,84,crown,"Tapia and Harwood, 2002",Paralia,86,83,next occurence,"Witkowski et al., 2011",
MRCA Stephanopyxis + Paralia,melosiroid,Praeparalia (Ellerbeckia),121,120,stem,"Nikolaev et al., 2001",,,,,,this is the only occurence of Praeparalia in the Cretaceous
MRCA Coscinodiscus + Actynoptychus,coscinodiscoid,Actinoptychus,100,94,stem,Zalat 2013,Actinoptychus,75,72,crown,"Witkowski et al., 2011",
MRCA Coscinodiscus + Actynoptychus,coscinodiscoid,Arachnoidiscus,83,72,crown,"Sims et al., 2006",Arachnoidiscus,72,66,next occurence,Chambers 1997,
MRCA Coscinodiscus + Actynoptychus,coscinodiscoid,Aulacodiscus,83,80,crown,"Witkowski et al., 2011",Aulacodiscus,72,66,next occurence,Chambers 1997,
