"","Clade","0%","50%","95%","method","fit_model","bracket_1","bracket_2"
"1","diatom_clade",120.04,124.42,137.85,"Beta","gamma","Corethron hystrix CCMP308","Fistulifera solaris"
"2","proboscia_paralia_clade",120.03,126.75,153.3,"Beta","lognormal","Proboscia alata PI−D3","Paralia ehrmanii ECT2AJA−128"
"3","paralia_aulacoseira_clade",120.27,128.12,167.34,"Beta","lognormal","Aulacoseira aff. ambigua AJA048−43","Paralia ehrmanii ECT2AJA−128"
"4","paralia_clade",120.18,132.57,217.11,"Beta","lognormal","Paralia longispina ECT2AJA−097","Paralia ehrmanii ECT2AJA−128"
"5","coscinodiscus_rhizosolenia_clade",94.17,100.1,112.65,"Beta","lognormal","Rhizosolenia imbricata ECT2AJA−126","Coscinodiscus wailesii MMETSP"
"6","coscinodiscus_actinocyclus_clade",94.44,100.41,114.44,"Beta","lognormal","Actinoptychus spendens ECT2AJA−030","Coscinodiscus wailesii MMETSP"
"7","coscinodiscus_aulacodiscus_clade",83.14,85.42,90.97,"Beta","lognormal","Stellarima microtrias CCMP1471","Coscinodiscus wailesii MMETSP"
"8","mediophytes_pennates_clade",120.15,125.03,141.79,"Beta","lognormal","Ditylum brightwellii Pop1 SS4","Fistulifera solaris"
"9","mediophytes_sans_biddulphiella_clade",120.22,129.82,164.8,"Beta","gamma","Ditylum brightwellii Pop1 SS4","Odontella aurita 1302−5"
"10","chaetoceros_hemiaulus_clade",94.69,106.3,175.49,"Beta","lognormal","Hemiaulus sinensis 24i10−1A","Chaetoceros sp. GSL56"
"11","thalassiosirales_clade",120.05,138.26,219.35,"Beta","lognormal","Porosira pseudodenticulata CCMP1433","Thalassiosira punctigera Tpunct2005C2"
"12","discostela_cyclostephanos_clade",11.64,16.25,36.3,"Beta","lognormal","Cyclostephanos sp. AJA066−13","Discostella pseudostelligera AJA075−4"
"13","pennate_clade",83.14,90.67,118.46,"Beta","gamma","Striatella unipunctata CCMP2910","Fistulifera solaris"
"14","araphid_3_clade",34.16,43.63,80.72,"Beta","lognormal","Fragilariforma virescens FD291","Synedropsis sp. CCMP2745"
"15","diatoma_clade",34.25,43.99,86.89,"Beta","lognormal","Diatoma tenuis AJA075−18","Tabellaria flocculosa AJA135−1"
"16","raphid_clade",56.01,61.3,84.72,"Beta","gamma","Eunotia naegelii FD354","Fistulifera solaris"
"17","diploneis_and_up_clade",34.19,40.1,54.38,"Beta","lognormal","Diploneis parca AJA141−4","Fistulifera solaris"
"18","cocconeis_cymbella_clade",34.34,39.41,59.15,"Beta","lognormal","Achnanthidium minutissimum FD330","Gomphonema subclavatum AJA090−1"
"19","cocconeis_clade",34.01,37.16,45.36,"Beta","lognormal","Achnanthidium minutissimum FD330","Anorthoneis sp. SZCZ_P_1003"
"20","cymbella_clade",34.32,40.77,70.48,"Beta","lognormal","Gomphonema subclavatum AJA090−1","Geissleria decussis AJA076−1"
"21","surirella_clade",11.13,21.71,54.04,"Beta","lognormal","Epithemia aff. brebissonii AJA109−1","Surirella striatula ECR2AJA−13"
"22","pinnularia_sellaphora_clade",32.29,43.85,133.9,"Beta","lognormal","Caloneis linearis AJA131−9","Sellaphora capitata AJA076−8"
