"","Clade","0%","50%","95%","method","fit_model","bracket_1","bracket_2"
"1","diatom_clade",120.11,124.16,136.59,"StraussSadler","gamma","Corethron hystrix CCMP308","Fistulifera solaris"
"2","proboscia_paralia_clade",120.08,126.97,163.71,"StraussSadler","lognormal","Proboscia alata PI−D3","Paralia ehrmanii ECT2AJA−128"
"3","paralia_aulacoseira_clade",120.04,128.33,164.19,"StraussSadler","lognormal","Aulacoseira aff. ambigua AJA048−43","Paralia ehrmanii ECT2AJA−128"
"4","paralia_clade",120.27,132.36,218.93,"StraussSadler","lognormal","Paralia longispina ECT2AJA−097","Paralia ehrmanii ECT2AJA−128"
"5","coscinodiscus_rhizosolenia_clade",94.27,100.06,112.25,"StraussSadler","lognormal","Rhizosolenia imbricata ECT2AJA−126","Coscinodiscus wailesii MMETSP"
"6","coscinodiscus_actinocyclus_clade",94.14,100.51,113.71,"StraussSadler","gamma","Actinoptychus spendens ECT2AJA−030","Coscinodiscus wailesii MMETSP"
"7","coscinodiscus_aulacodiscus_clade",83.06,85.52,89.93,"StraussSadler","lognormal","Stellarima microtrias CCMP1471","Coscinodiscus wailesii MMETSP"
"8","mediophytes_pennates_clade",120.09,125.41,142.18,"StraussSadler","gamma","Ditylum brightwellii Pop1 SS4","Fistulifera solaris"
"9","mediophytes_sans_biddulphiella_clade",120.11,128.77,163.48,"StraussSadler","lognormal","Ditylum brightwellii Pop1 SS4","Odontella aurita 1302−5"
"10","chaetoceros_hemiaulus_clade",94.4,107.39,179.95,"StraussSadler","lognormal","Hemiaulus sinensis 24i10−1A","Chaetoceros sp. GSL56"
"11","thalassiosirales_clade",120.35,137.35,213.48,"StraussSadler","lognormal","Porosira pseudodenticulata CCMP1433","Thalassiosira punctigera Tpunct2005C2"
"12","discostela_cyclostephanos_clade",11.63,15.95,30.48,"StraussSadler","lognormal","Cyclostephanos sp. AJA066−13","Discostella pseudostelligera AJA075−4"
"13","pennate_clade",83.14,91.26,119.57,"StraussSadler","gamma","Striatella unipunctata CCMP2910","Fistulifera solaris"
"14","araphid_3_clade",34.05,43.26,83.3,"StraussSadler","lognormal","Fragilariforma virescens FD291","Synedropsis sp. CCMP2745"
"15","diatoma_clade",34.36,42.82,81.92,"StraussSadler","lognormal","Diatoma tenuis AJA075−18","Tabellaria flocculosa AJA135−1"
"16","raphid_clade",56,61.29,83.47,"StraussSadler","gamma","Eunotia naegelii FD354","Fistulifera solaris"
"17","diploneis_and_up_clade",35.09,39.8,54.47,"StraussSadler","lognormal","Diploneis parca AJA141−4","Fistulifera solaris"
"18","cocconeis_cymbella_clade",34.09,39.69,58.09,"StraussSadler","lognormal","Achnanthidium minutissimum FD330","Gomphonema subclavatum AJA090−1"
"19","cocconeis_clade",34.05,37.22,45.83,"StraussSadler","lognormal","Achnanthidium minutissimum FD330","Anorthoneis sp. SZCZ_P_1003"
"20","cymbella_clade",34.22,40.59,70.49,"StraussSadler","lognormal","Gomphonema subclavatum AJA090−1","Geissleria decussis AJA076−1"
"21","surirella_clade",11.18,21.57,54.93,"StraussSadler","lognormal","Epithemia aff. brebissonii AJA109−1","Surirella striatula ECR2AJA−13"
"22","pinnularia_sellaphora_clade",32.09,43.96,128.7,"StraussSadler","lognormal","Caloneis linearis AJA131−9","Sellaphora capitata AJA076−8"
